Image_No,Similarity_Score
3,1.0
265,0.9933868944644928
426,0.9931273758411407
128,0.9924864768981934
517,0.9914162755012512
297,0.9879889488220215
129,0.9866238534450531
266,0.9863490164279938
427,0.986060380935669
405,0.9809875190258026
120,0.9809484779834747
308,0.9803644418716431
533,0.9802035391330719
485,0.9775859117507935
413,0.9766541421413422
115,0.9763181805610657
422,0.9745185077190399
175,0.9740908145904541
132,0.9730356931686401
110,0.9713577628135681
542,0.9689974188804626
459,0.9685220122337341
555,0.9665446281433105
320,0.9600910842418671
50,0.9595127403736115
521,0.9576008021831512
535,0.9572723805904388
74,0.9166563153266907
226,0.8883951306343079
329,0.8854783475399017
58,0.8821108043193817
319,0.8782706558704376
70,0.8708746433258057
508,0.8626779615879059
20,0.851863443851471
262,0.84405118227005
212,0.8422598242759705
313,0.8375490307807922
343,0.8183364868164062
200,0.8173562288284302
433,0.8003598153591156
524,0.7990524172782898
553,0.7976269423961639
302,0.7898360788822174
365,0.7889345586299896
111,0.7888063788414001
380,0.782740980386734
310,0.7826052308082581
428,0.7824019491672516
102,0.7813040912151337
525,0.7810620963573456
311,0.7802848815917969
285,0.7789756655693054
306,0.7789677083492279
483,0.7714240252971649
337,0.7656488120555878
259,0.7624931931495667
301,0.7608899772167206
90,0.7583722174167633
287,0.7579163014888763
103,0.7575428187847137
210,0.7573491632938385
250,0.7550801634788513
180,0.7524413764476776
270,0.752163290977478
9,0.7472165822982788
321,0.7455147355794907
228,0.7446719259023666
76,0.7428376376628876
543,0.7420971542596817
283,0.7412764579057693
353,0.7406499534845352
51,0.7402627915143967
368,0.7378971874713898
73,0.7377430498600006
181,0.7374617606401443
316,0.7344187498092651
126,0.7280753552913666
163,0.7259178906679153
251,0.7225327044725418
194,0.7207579910755157
137,0.7179163098335266
326,0.7157423943281174
125,0.7154459059238434
30,0.7131500542163849
149,0.7094015032052994
112,0.7092954367399216
382,0.7083959728479385
369,0.7083700001239777
263,0.7077152580022812
332,0.7069125026464462
328,0.7062198966741562
195,0.7057622820138931
318,0.7040464878082275
81,0.7034629136323929
477,0.7026537507772446
403,0.7018746137619019
7,0.7008410841226578
419,0.6990755051374435
187,0.6982327252626419
38,0.6982211917638779
389,0.696971669793129
10,0.6959826946258545
434,0.6944250464439392
29,0.6943769007921219
48,0.6922541260719299
255,0.691339761018753
475,0.6912529915571213
69,0.6911764591932297
104,0.6909428536891937
116,0.6904602944850922
439,0.6902458369731903
208,0.6890659779310226
520,0.688419982790947
46,0.6875158250331879
225,0.686402440071106
261,0.6832080632448196
296,0.6808021366596222
49,0.6792357712984085
496,0.6790578216314316
223,0.6784365177154541
56,0.6767909824848175
400,0.6762196719646454
362,0.6759346276521683
249,0.6755279004573822
474,0.6754905730485916
145,0.674089714884758
156,0.6735407412052155
232,0.6711607724428177
79,0.6703024506568909
378,0.669834092259407
