Image_No1,My_Algorithm,Image_No2,Graph_Edit_Distance
466,0.524151633,137,6
552,0.520713195,138,6
85,0.520418491,143,6
229,0.519350195,144,6
312,0.519277422,145,6
19,0.518349301,147,6
238,0.516798044,153,6
109,0.515571306,154,6
479,0.515441273,156,6
379,0.515156215,165,6
189,0.51347196,168,6
167,0.511084149,169,6
233,0.510872068,183,6
171,0.510582782,186,6
164,0.507865059,192,6
17,0.507640197,199,6
387,0.50637832,209,6
425,0.504233351,214,6
114,0.50310628,219,6
92,0.501918676,229,6
241,0.500753409,230,6
470,0.496446967,231,6
55,0.492686815,237,6
372,0.4912722,241,6
153,0.490143287,245,6
203,0.490100968,249,6
331,0.489883725,254,6
184,0.489431732,271,6
402,0.489091764,279,6
130,0.486091198,285,6
142,0.485804803,290,6
556,0.482994061,291,6
135,0.481898354,292,6
514,0.478791762,295,6
25,0.47709574,313,6
211,0.475145686,330,6
429,0.475098578,342,6
205,0.474294236,355,6
248,0.474042343,357,6
512,0.473193217,358,6
478,0.472916711,387,6
151,0.471681567,398,6
373,0.470414514,410,6
363,0.468361754,416,6
158,0.468125354,417,6
196,0.467576265,420,6
93,0.466147508,436,6
509,0.466144897,442,6
515,0.464755986,443,6
366,0.460555259,457,6
252,0.458320595,466,6
216,0.456312254,473,6
28,0.455934107,479,6
347,0.455575474,480,6
455,0.453112021,491,6
123,0.452170987,498,6
356,0.451974884,501,6
68,0.451838218,506,6
54,0.4517643,518,6
464,0.45107536,520,6
60,0.450539507,525,6
190,0.450317636,529,6
323,0.448921215,540,6
281,0.448038902,550,6
47,0.446314357,558,6
367,0.445729598,0,7
437,0.44445366,7,7
460,0.444288068,10,7
75,0.444176294,13,7
41,0.443636753,17,7
481,0.441082865,28,7
336,0.440388132,29,7
170,0.437505733,32,7
544,0.437497832,33,7
432,0.437422521,44,7
392,0.437395498,49,7
551,0.437381111,62,7
554,0.436950706,63,7
487,0.436253928,72,7
87,0.435687825,79,7
376,0.435493357,86,7
465,0.433332011,95,7
62,0.429072857,96,7
445,0.428034715,104,7
284,0.427970447,106,7
490,0.42753759,109,7
183,0.42557364,111,7
527,0.4243754,114,7
495,0.424313456,124,7
397,0.423521414,133,7
456,0.42347157,140,7
148,0.423207611,146,7
492,0.421961926,150,7
209,0.421645649,151,7
166,0.421369113,159,7
59,0.421347126,163,7
488,0.420789257,166,7
293,0.41954381,180,7
523,0.419140987,181,7
6,0.41873005,188,7
390,0.417638414,197,7
497,0.416737832,198,7
358,0.416688316,203,7
105,0.415644974,205,7
330,0.415317856,207,7
198,0.415041417,210,7
540,0.414961368,224,7
436,0.413424708,227,7
91,0.413314313,228,7
305,0.411850318,235,7
453,0.410720333,243,7
538,0.410222501,255,7
95,0.410106272,259,7
288,0.409197725,260,7
247,0.406709671,262,7
350,0.406192861,270,7
416,0.405373983,272,7
275,0.403550021,274,7
37,0.402304798,275,7
348,0.401772037,276,7
146,0.400683284,277,7
404,0.40033377,282,7
407,0.400108948,287,7
24,0.399731398,303,7
412,0.396799229,305,7
221,0.396400489,310,7
294,0.396352664,311,7
26,0.396127731,312,7
204,0.393961564,315,7
237,0.392412297,316,7
505,0.392259762,317,7
32,0.392179802,318,7
516,0.390366755,319,7
444,0.386754692,324,7
36,0.385904968,326,7
395,0.385541886,332,7
446,0.385149568,333,7
383,0.383983485,338,7
276,0.383500412,343,7
2,0.383438446,345,7
77,0.383246221,347,7
243,0.381721549,348,7
435,0.381388277,351,7
526,0.38033542,353,7
197,0.378821418,360,7
84,0.377614468,365,7
406,0.37748301,368,7
468,0.376576312,379,7
162,0.375047497,380,7
8,0.374784753,383,7
144,0.374686792,385,7
191,0.374184981,391,7
277,0.374112189,393,7
0,0.373962596,397,7
227,0.373723462,403,7
340,0.372428328,408,7
322,0.37221393,423,7
257,0.371692583,431,7
504,0.37098147,440,7
121,0.370849311,453,7
304,0.370580763,456,7
274,0.368985012,474,7
143,0.368093714,475,7
215,0.367874622,482,7
355,0.366672263,488,7
256,0.366545767,490,7
384,0.365645349,493,7
351,0.36564447,495,7
472,0.365602732,502,7
122,0.36541459,510,7
66,0.364672631,513,7
31,0.364377931,522,7
78,0.363082752,524,7
157,0.362568676,526,7
298,0.361695141,530,7
510,0.361128896,531,7
503,0.361070618,534,7
40,0.360082343,539,7
522,0.358894274,545,7
463,0.357742399,548,7
537,0.356985345,551,7
160,0.356567666,1,8
391,0.353227183,16,8
206,0.352418169,24,8
339,0.352398545,26,8
176,0.35087499,39,8
138,0.350256175,41,8
119,0.349011585,47,8
71,0.347428322,55,8
61,0.342491284,56,8
39,0.339847058,58,8
548,0.339363709,59,8
530,0.336326301,61,8
557,0.335748866,66,8
303,0.335711941,80,8
108,0.334648579,84,8
295,0.33455652,85,8
442,0.334191456,97,8
349,0.334188253,100,8
469,0.333611369,101,8
234,0.333510295,105,8
16,0.332809836,107,8
1,0.329326972,118,8
174,0.328882396,125,8
370,0.328385353,126,8
482,0.327242628,148,8
279,0.327102989,177,8
531,0.323631197,190,8
22,0.322672546,193,8
506,0.321985796,195,8
271,0.319993094,200,8
473,0.319796368,226,8
438,0.316417038,232,8
244,0.315436944,264,8
454,0.313438043,267,8
507,0.311946899,288,8
161,0.310907543,289,8
35,0.310713857,293,8
398,0.309920892,294,8
155,0.307295203,298,8
493,0.306161076,299,8
289,0.305602774,306,8
14,0.304751068,328,8
431,0.303629667,344,8
235,0.303299487,350,8
489,0.302255854,352,8
173,0.302197203,363,8
364,0.30093576,367,8
64,0.297732934,369,8
136,0.296242729,370,8
518,0.295110285,371,8
96,0.294160977,372,8
546,0.293953776,373,8
193,0.293143377,386,8
501,0.289534479,388,8
415,0.285590172,389,8
